,name1,name,liked,difficulty,passed,submitted,url
0,51. N皇后,N Queens,284,困难,"20,765","31,020",https://leetcode-cn.com/problems/n-queens
1,52. N皇后 II,N Queens Ii,87,困难,"12,952","16,949",https://leetcode-cn.com/problems/n-queens-ii
2,53. 最大子序和,Maximum Subarray,1427,简单,"133,326","275,730",https://leetcode-cn.com/problems/maximum-subarray
3,54. 螺旋矩阵,Spiral Matrix,251,中等,"33,458","88,457",https://leetcode-cn.com/problems/spiral-matrix
4,55. 跳跃游戏,Jump Game,392,中等,"48,045","129,372",https://leetcode-cn.com/problems/jump-game
5,56. 合并区间,Merge Intervals,236,中等,"42,278","107,206",https://leetcode-cn.com/problems/merge-intervals
6,57. 插入区间,Insert Interval,84,困难,"12,312","34,112",https://leetcode-cn.com/problems/insert-interval
7,58. 最后一个单词的长度,Length Of Last Word,154,简单,"56,940","179,259",https://leetcode-cn.com/problems/length-of-last-word
8,59. 螺旋矩阵 II,Spiral Matrix Ii,130,中等,"21,242","28,037",https://leetcode-cn.com/problems/spiral-matrix-ii
9,60. 第k个排列,Permutation Sequence,147,中等,"18,983","39,905",https://leetcode-cn.com/problems/permutation-sequence
10,61. 旋转链表,Rotate List,184,中等,"35,968","91,039",https://leetcode-cn.com/problems/rotate-list
11,62. 不同路径,Unique Paths,370,中等,"57,886","100,031",https://leetcode-cn.com/problems/unique-paths
12,63. 不同路径 II,Unique Paths Ii,198,中等,"32,849","102,593",https://leetcode-cn.com/problems/unique-paths-ii
13,64. 最小路径和,Minimum Path Sum,343,中等,"47,345","74,514",https://leetcode-cn.com/problems/minimum-path-sum
14,65. 有效数字,Valid Number,68,困难,"7,337","42,978",https://leetcode-cn.com/problems/valid-number
15,66. 加一,Plus One,386,简单,"101,193","240,307",https://leetcode-cn.com/problems/plus-one
16,67. 二进制求和,Add Binary,273,简单,"52,884","102,536",https://leetcode-cn.com/problems/add-binary
17,68. 文本左右对齐,Text Justification,41,困难,"4,973","11,882",https://leetcode-cn.com/problems/text-justification
18,69. x 的平方根,Sqrtx,271,简单,"78,626","211,072",https://leetcode-cn.com/problems/sqrtx
19,70. 爬楼梯,Climbing Stairs,755,简单,"112,273","236,945",https://leetcode-cn.com/problems/climbing-stairs
20,71. 简化路径,Simplify Path,84,中等,"20,757","54,766",https://leetcode-cn.com/problems/simplify-path
21,72. 编辑距离,Edit Distance,431,困难,"21,887","39,628",https://leetcode-cn.com/problems/edit-distance
22,73. 矩阵置零,Set Matrix Zeroes,154,中等,"24,455","44,741",https://leetcode-cn.com/problems/set-matrix-zeroes
23,74. 搜索二维矩阵,Search A 2D Matrix,108,中等,"24,538","67,158",https://leetcode-cn.com/problems/search-a-2d-matrix
24,75. 颜色分类,Sort Colors,279,中等,"47,244","87,338",https://leetcode-cn.com/problems/sort-colors
25,76. 最小覆盖子串,Minimum Window Substring,282,困难,"18,053","51,970",https://leetcode-cn.com/problems/minimum-window-substring
26,77. 组合,Combinations,188,中等,"27,635","38,543",https://leetcode-cn.com/problems/combinations
27,78. 子集,Subsets,405,中等,"49,695","65,674",https://leetcode-cn.com/problems/subsets
28,79. 单词搜索,Word Search,263,中等,"29,055","73,385",https://leetcode-cn.com/problems/word-search
29,80. 删除排序数组中的重复项 II,Remove Duplicates From Sorted Array Ii,156,中等,"26,875","50,358",https://leetcode-cn.com/problems/remove-duplicates-from-sorted-array-ii
30,81. 搜索旋转排序数组 II,Search In Rotated Sorted Array Ii,77,中等,"14,306","41,326",https://leetcode-cn.com/problems/search-in-rotated-sorted-array-ii
31,82. 删除排序链表中的重复元素 II,Remove Duplicates From Sorted List Ii,184,中等,"26,203","58,636",https://leetcode-cn.com/problems/remove-duplicates-from-sorted-list-ii
32,83. 删除排序链表中的重复元素,Remove Duplicates From Sorted List,233,简单,"61,020","126,018",https://leetcode-cn.com/problems/remove-duplicates-from-sorted-list
33,84. 柱状图中最大的矩形,Largest Rectangle In Histogram,345,困难,"21,244","56,195",https://leetcode-cn.com/problems/largest-rectangle-in-histogram
34,85. 最大矩形,Maximal Rectangle,259,困难,"13,800","31,862",https://leetcode-cn.com/problems/maximal-rectangle
35,86. 分隔链表,Partition List,140,中等,"20,850","38,402",https://leetcode-cn.com/problems/partition-list
36,87. 扰乱字符串,Scramble String,68,困难,"5,613","12,582",https://leetcode-cn.com/problems/scramble-string
37,88. 合并两个有序数组,Merge Sorted Array,366,简单,"91,837","199,932",https://leetcode-cn.com/problems/merge-sorted-array
38,89. 格雷编码,Gray Code,106,中等,"15,350","22,921",https://leetcode-cn.com/problems/gray-code
39,90. 子集 II,Subsets Ii,145,中等,"17,812","30,723",https://leetcode-cn.com/problems/subsets-ii
40,91. 解码方法,Decode Ways,237,中等,"25,123","111,869",https://leetcode-cn.com/problems/decode-ways
