,name1,name,liked,difficulty,passed,submitted,url
0,29. 两数相除,Divide Two Integers,234,中等,"28,869","152,253",https://leetcode-cn.com/problems/divide-two-integers
1,264. 丑数 II,Ugly Number Ii,180,中等,"13,318","27,570",https://leetcode-cn.com/problems/ugly-number-ii
2,338. 比特位计数,Counting Bits,212,中等,"22,149","30,020",https://leetcode-cn.com/problems/counting-bits
3,401. 二进制手表,Binary Watch,92,简单,"8,722","17,185",https://leetcode-cn.com/problems/binary-watch
4,431. 将 N 叉树编码为二叉树,Encode N Ary Tree To Binary Tree,5,困难,120,192,https://leetcode-cn.com/problems/encode-n-ary-tree-to-binary-tree
5,464. 我能赢吗,Can I Win,66,中等,"2,085","6,345",https://leetcode-cn.com/problems/can-i-win
6,824. 山羊拉丁文,Goat Latin,27,简单,"6,147","10,571",https://leetcode-cn.com/problems/goat-latin
7,935. 骑士拨号器,Knight Dialer,13,中等,"1,386","3,594",https://leetcode-cn.com/problems/knight-dialer
8,1046. 最后一块石头的重量,Last Stone Weight,23,简单,"7,897","13,513",https://leetcode-cn.com/problems/last-stone-weight
9,1062. 最长重复子串,Longest Repeating Substring,7,中等,793,"1,925",https://leetcode-cn.com/problems/longest-repeating-substring
10,1121. 将数组分成几个递增序列,Divide Array Into Increasing Sequences,7,困难,414,888,https://leetcode-cn.com/problems/divide-array-into-increasing-sequences
11,1138. 字母板上的路径,Alphabet Board Path,6,中等,"1,932","5,280",https://leetcode-cn.com/problems/alphabet-board-path
12,1244. 力扣排行榜,Design A Leaderboard,4,中等,712,"1,437",https://leetcode-cn.com/problems/design-a-leaderboard
13,1246. 删除回文子数组,Palindrome Removal,7,困难,309,734,https://leetcode-cn.com/problems/palindrome-removal
14,1264. Page Recommendations,Page Recommendations,3,中等,62,121,https://leetcode-cn.com/problems/page-recommendations
15,1273. 删除树节点,Delete Tree Nodes,2,中等,552,"1,135",https://leetcode-cn.com/problems/delete-tree-nodes
16,1278. 分割回文串 III,Palindrome Partitioning Iii,15,困难,714,"1,371",https://leetcode-cn.com/problems/palindrome-partitioning-iii
17,1284. 转化为全零矩阵的最少反转次数,Minimum Number Of Flips To Convert Binary Matrix To Zero Matrix,6,困难,962,"1,488",https://leetcode-cn.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix
18,LCP 5. 发 LeetCoin,Coin Bonus,13,困难,488,"3,133",https://leetcode-cn.com/problems/coin-bonus
